date,NDCI_Values,Turbidity(NTA_Values),Shrinkage
2020-08-02,0.07,48,60.555234239444765
2020-08-03,0.07,48,59.88642230252969
2020-08-06,0.07,20.0,93.4065934065934
2020-08-07,0.07,20.0,97
2020-08-10,0.07,21.666666666666668,90.57071960297766
2020-08-11,0.07,21.666666666666668,97
2020-08-14,0.07,20.0,97
2020-08-15,0.07,23.333333333333332,97
2020-08-17,0.07,36.666666666666664,77.77777777777777
2020-08-18,0.07,30.0,82.99595141700405
2020-08-19,0.07,21.666666666666668,97
2020-08-21,0.07,30.0,82.12058212058211
2020-08-22,0.07,48,59.241706161137444
2020-08-23,0.07,48,64.83516483516483
2020-08-25,0.07,23.333333333333332,84.61538461538461
2020-08-26,0.07,48,60.7229446770994
2020-08-27,0.07,48,68.5175751400917
2020-08-29,0.07,48,57.93822545740704
2020-08-30,0.07,16.666666666666668,97
2020-09-02,0.07,16.666666666666668,97
2020-09-03,0.07,20.0,97
2020-09-06,0.07,36.666666666666664,81.19658119658119
2020-09-07,0.07,48,58.094625040231726
2020-09-10,0.07,48,64.47149972329828
2020-09-11,0.07,25.0,97
2020-09-13,0.07,48,57.7727711618925
2020-09-14,0.07,31.666666666666668,88.46153846153845
2020-09-15,0.07,48,61.61314413741598
2020-09-17,0.07,31.666666666666668,75.93688362919131
2020-09-18,0.07,18.333333333333332,97
2020-09-19,0.07,25.0,97
2020-09-21,0.07,33.333333333333336,85.3658536585366
2020-09-22,0.07,23.333333333333332,92.07459207459208
2020-09-23,0.07,48,57.84373107207753
2020-09-25,0.07,48,62.804284323271666
2020-09-26,0.07,48,59.89284347493303
2020-09-29,0.07,15.0,93.4065934065934
2020-09-30,0.07,48,73.02118171683388
2021-08-01,0.07,48,55.71681986776327
2021-08-03,0.07,48,68.3257918552036
2021-08-04,0.07,48,85.72752548656165
2021-08-05,0.07,48,82.15384615384616
2021-08-07,0.07,48,60.43956043956044
2021-08-08,0.07,48,56.271314892004554
2021-08-09,0.07,48,86.95652173913044
2021-08-11,0.07,45.0,78.08857808857809
2021-08-12,0.07,43.333333333333336,85.53386911595867
2021-08-13,0.07,48,85.28428093645485
2021-08-15,0.07,33.333333333333336,85.21870286576168
2021-08-16,0.07,31.666666666666668,97
2021-08-19,0.07,23.333333333333332,93.4065934065934
2021-08-20,0.07,48,85.66433566433567
2021-08-23,0.07,48,64.1025641025641
2021-08-24,0.07,33.333333333333336,93.79217273954116
2021-08-27,0.07,48,57.692307692307686
2021-08-28,0.07,48,56.64942432838311
2021-08-30,0.07,33.333333333333336,81.53846153846153
2021-08-31,0.07,26.666666666666668,91.97324414715719
2021-09-01,0.07,30.0,97
2021-09-03,0.07,48,56.84138869979578
2021-09-04,0.07,48,57.0158484731349
2021-09-05,0.07,48,88.71794871794872
2021-09-07,0.07,48,56.49867374005305
