date,Chl_a,Turbidity,Shrinkage
2020-08-01,0.0,2.2,78.59531772575251
2020-08-02,0.0,5.3,67.11915535444946
2020-08-03,0.0,19.8,59.599041185443454
2020-08-05,0.0,1.9,81.61350844277673
2020-08-06,0.0,1.3,96.73659673659674
2020-08-07,0.0,1.6,99.60552268244575
2020-08-09,10.289223030492488,7.5,64.47149972329828
2020-08-10,0.0,4.7,73.57859531772574
2020-08-13,0.0,1.1,92.5925925925926
2020-08-14,0.0,1.3,96.73659673659674
2020-08-17,0.0,1.1,92.5925925925926
2020-08-18,0.0,1.2,100.49627791563273
2020-08-21,0.0,1.3,94.87179487179486
2020-08-22,0.0,1.6,95.66074950690336
2020-08-24,0.0,3.3,79.88165680473371
2020-08-25,0.0,1.0,97.63313609467454
2020-08-26,10.493242742207478,14.8,59.282822440717176
2020-08-28,11.061463172178165,30.2,59.96536296723913
2020-08-29,0.0,1.1,97.63313609467454
2020-08-30,11.400576317130101,23.4,56.52821754516669
2020-09-01,11.014347531167846,10.8,62.280359234673945
2020-09-02,0.0,1.1,98.29059829059827
2020-09-03,11.183008193539196,33.0,57.62576523822198
2020-09-05,0.0,1.0,96.15384615384615
2020-09-06,0.0,3.1,75.68238213399503
2020-09-09,0.0,31.8,58.66076369673491
2020-09-10,10.683883283897867,29.0,58.974358974358964
2020-09-13,0.0,2.2,85.28428093645485
2020-09-14,0.0,5.4,76.53457653457653
2020-09-17,0.0,6.5,62.82051282051282
2020-09-18,0.0,1.7,94.5945945945946
2020-09-20,0.0,1.5,81.73076923076923
2020-09-21,0.0,2.2,88.03418803418802
2020-09-22,0.0,4.5,74.71264367816092
2020-09-24,10.867231500776864,15.4,60.15779092702169
2020-09-25,0.0,1.1,97.63313609467454
2020-09-26,0.0,3.2,82.24852071005917
2020-09-28,11.216737320867148,24.7,59.05650413659566
2020-09-29,10.460718641068969,12.4,58.55855855855856
2020-09-30,0.0,1.6,95.1417004048583
2021-08-03,0.0,3.6,77.8175313059034
2021-08-04,0.0,4.4,83.7526959022286
2021-08-07,0.0,10.5,63.40007024938532
2021-08-08,11.116119321772683,15.4,59.03968642822145
2021-08-10,0.0,2.8,83.710407239819
2021-08-11,12.132114200541704,19.7,55.490311215502054
2021-08-12,0.0,4.8,74.17582417582418
2021-08-14,0.0,3.1,72.04767063921993
2021-08-15,0.0,1.4,97.49552772808586
2021-08-16,0.0,2.1,97.43589743589742
2021-08-18,0.0,1.5,93.4065934065934
2021-08-19,0.0,1.7,93.84615384615384
2021-08-20,0.0,2.4,93.08807134894091
2021-08-22,0.0,2.0,85.21870286576168
2021-08-23,0.0,7.7,65.66604127579737
2021-08-26,0.0,2.1,87.4125874125874
2021-08-27,0.0,2.9,83.33333333333334
2021-08-30,0.0,1.2,98.75259875259876
2021-08-31,0.0,4.1,74.14750198255354
2021-09-03,11.417474886352949,26.7,57.10955710955711
2021-09-04,12.816206890848164,38.0,66.9254293107504
2021-09-06,0.0,1.7,84.61538461538461
2021-09-07,11.441246628704494,33.3,57.04540108209834
2021-09-08,0.0,2.9,85.02024291497975
2021-09-10,0.0,1.5,89.11819887429644
2021-09-11,0.0,2.7,85.97285067873302
2021-09-12,10.770811357856045,8.7,64.91656491656491
2021-09-14,11.82296941334817,20.6,55.57645288696633
2021-09-15,0.0,1.3,100.0
2021-09-16,0.0,2.1,95.2080706179067
2021-09-18,0.0,2.0,82.20211161387631
2021-09-19,0.0,1.6,95.74468085106383
2021-09-27,0.0,1.9,92.5925925925926
2021-09-30,0.0,3.6,72.75254865616311
2022-08-01,12.126142913920269,24.0,55.07176261893243
2022-08-02,0.0,2.2,96.15384615384615
2022-08-04,0.0,2.7,75.75757575757575
2022-08-05,10.595518444431463,9.4,62.0409741012756
2022-08-06,10.987800049720605,10.7,61.639234128317085
2022-08-08,11.993843673698748,28.5,55.691222357889025
2022-08-09,0.0,1.4,101.39860139860141
2022-08-12,0.0,1.7,91.97324414715719
2022-08-13,11.483128561976004,37.1,57.53510794382729
2022-08-16,0.0,1.4,97.06959706959705
2022-08-17,0.0,1.7,97.63313609467454
2022-08-20,0.0,5.9,67.3076923076923
2022-08-21,0.0,2.1,95.2080706179067
2022-08-23,0.0,4.7,69.96336996336996
2022-08-24,0.0,1.5,94.87179487179486
2022-08-25,11.958684392687546,16.0,58.215198698582384
2022-08-27,0.0,7.2,64.43556443556443
2022-08-28,11.558147847062555,23.3,56.11055611055611
2022-08-29,11.040442073141612,10.9,61.901617695609104
2022-08-31,0.0,1.6,86.76207513416816
2022-09-01,0.0,1.4,100.73260073260073
2022-09-02,0.0,3.6,79.48717948717947
2022-09-04,0.0,1.6,86.76207513416816
2022-09-05,0.0,1.5,98.66220735785951
2022-09-08,0.0,2.7,76.92307692307692
2022-09-09,0.0,2.1,91.51193633952255
2022-09-12,10.31658516413795,5.4,64.1025641025641
2022-09-13,0.0,2.1,93.79217273954116
2022-09-16,0.0,6.0,65.71774682010903
2022-09-17,0.0,2.5,89.74358974358972
2022-09-19,0.0,1.5,89.11819887429644
2022-09-20,11.36206172046749,16.9,57.57851615839781
2022-09-21,10.309528899191116,9.7,63.10679611650486
2022-09-23,0.0,1.5,88.46153846153845
2022-09-24,12.193551185500873,31.7,55.7997557997558
2022-09-25,11.241712685367885,8.8,63.30128205128206
2022-09-27,12.19916762464721,15.9,56.79923791378899
2022-09-28,12.505486815968457,27.4,55.35390199637023
2022-09-29,0.0,1.9,96.15384615384615
2023-08-02,0.0,2.4,82.59773013871374
2023-08-03,0.0,2.1,92.6860025220681
